granularity,period,factor,return,percentile,rank,is_best
month,2024-01,alpha101/alpha_027,0.04628,0.8599,1,1
month,2024-01,gtja191/alpha_006,0.03612,0.839,2,0
month,2024-01,alpha101/alpha_019,0.02461,0.823,3,0
month,2024-01,gtja191/alpha_026,0.00857,0.8152,4,0
month,2024-01,gtja191/alpha_025,-0.00081,0.787,5,0
month,2024-01,gtja191/alpha_037,-0.00051,0.7812,6,0
month,2024-01,gtja191/alpha_008,0.00346,0.7811,7,0
month,2024-01,alpha101/alpha_080,-0.02507,0.7402,8,0
month,2024-01,gtja191/alpha_092,-0.02956,0.7343,9,0
month,2024-01,alpha101/alpha_084,-0.03447,0.7114,10,0
month,2024-01,qlib158/cntn5,-0.03829,0.7111,11,0
month,2024-01,alpha101/alpha_024,-0.05294,0.6894,12,0
month,2024-01,gtja191/alpha_157,-0.04514,0.6892,13,0
month,2024-01,alpha101/alpha_023,-0.05676,0.6665,14,0
month,2024-01,gtja191/alpha_041,-0.06117,0.6636,15,0
month,2024-01,alpha101/alpha_004,-0.0551,0.6554,16,0
month,2024-01,alpha101/alpha_069,-0.07129,0.6395,17,0
month,2024-01,alpha101/alpha_067,-0.07762,0.6387,18,0
month,2024-01,qlib158/min10,-0.07073,0.6335,19,0
month,2024-01,alpha101/alpha_088,-0.08035,0.6121,20,0
month,2024-01,gtja191/alpha_016,-0.08692,0.6074,21,0
month,2024-01,gtja191/alpha_090,-0.08774,0.6006,22,0
month,2024-01,gtja191/alpha_001,-0.08709,0.5982,23,0
month,2024-01,alpha101/alpha_002,-0.10392,0.5594,24,0
month,2024-01,alpha101/alpha_015,-0.10342,0.5534,25,0
month,2024-01,alpha101/alpha_044,-0.10805,0.5467,26,0
month,2024-01,alpha101/alpha_026,-0.11032,0.5376,27,0
month,2024-01,alpha101/alpha_055,-0.11155,0.5358,28,0
month,2024-01,qlib158/ma10,-0.11159,0.5275,29,0
month,2024-01,alpha101/alpha_016,-0.12999,0.4739,30,0
month,2024-01,gtja191/alpha_048,-0.13885,0.4522,31,0
month,2024-01,qlib158/vsumn5,-0.13908,0.4499,32,0
month,2024-01,qlib158/vsumn20,-0.14914,0.4319,33,0
month,2024-01,qlib158/vsumn60,-0.15205,0.4252,34,0
month,2024-01,gtja191/alpha_168,-0.15348,0.425,35,0
month,2024-01,qlib158/vsumn30,-0.16136,0.3957,36,0
month,2024-01,qlib158/vma60,-0.16101,0.3953,37,0
month,2024-01,qlib158/vma10,-0.16665,0.3719,38,0
month,2024-02,qlib158/vsumn60,0.19736,0.7313,1,1
month,2024-02,alpha101/alpha_019,0.23207,0.7168,2,0
month,2024-02,qlib158/vsumn20,0.19123,0.7141,3,0
month,2024-02,alpha101/alpha_016,0.21209,0.7022,4,0
month,2024-02,qlib158/ma10,0.23402,0.6797,5,0
month,2024-02,qlib158/vsumn30,0.17772,0.6693,6,0
month,2024-02,gtja191/alpha_016,0.17768,0.6653,7,0
month,2024-02,gtja191/alpha_157,0.18523,0.6434,8,0
month,2024-02,gtja191/alpha_001,0.15792,0.6378,9,0
month,2024-02,alpha101/alpha_069,0.20104,0.6345,10,0
month,2024-02,gtja191/alpha_090,0.16372,0.6309,11,0
month,2024-02,gtja191/alpha_025,0.17113,0.6285,12,0
month,2024-02,qlib158/vma60,0.17768,0.61,13,0
month,2024-02,alpha101/alpha_015,0.15002,0.6032,14,0
month,2024-02,qlib158/vma10,0.16689,0.5995,15,0
month,2024-02,gtja191/alpha_168,0.17439,0.5955,16,0
month,2024-02,alpha101/alpha_026,0.14632,0.5927,17,0
month,2024-02,gtja191/alpha_041,0.17606,0.5784,18,0
month,2024-02,alpha101/alpha_002,0.1421,0.5699,19,0
month,2024-02,gtja191/alpha_092,0.14948,0.5606,20,0
month,2024-02,gtja191/alpha_026,0.15115,0.5604,21,0
month,2024-02,alpha101/alpha_044,0.13971,0.5526,22,0
month,2024-02,alpha101/alpha_024,0.15628,0.5419,23,0
month,2024-02,alpha101/alpha_084,0.13915,0.5111,24,0
month,2024-02,alpha101/alpha_055,0.13388,0.5001,25,0
month,2024-02,gtja191/alpha_037,0.11831,0.4895,26,0
month,2024-02,gtja191/alpha_008,0.11855,0.4865,27,0
month,2024-02,qlib158/vsumn5,0.11663,0.4785,28,0
month,2024-02,alpha101/alpha_067,0.1136,0.4732,29,0
month,2024-02,gtja191/alpha_048,0.11893,0.4397,30,0
month,2024-02,alpha101/alpha_080,0.09919,0.4204,31,0
month,2024-02,alpha101/alpha_004,0.09628,0.4189,32,0
month,2024-02,qlib158/cntn5,0.09774,0.4051,33,0
month,2024-02,gtja191/alpha_006,0.07372,0.3829,34,0
month,2024-02,alpha101/alpha_088,0.07989,0.3473,35,0
month,2024-02,alpha101/alpha_027,0.0604,0.3397,36,0
month,2024-02,alpha101/alpha_023,0.06178,0.3355,37,0
month,2024-02,qlib158/min10,0.07022,0.3235,38,0
month,2024-03,qlib158/vsumn30,0.03466,0.7245,1,1
month,2024-03,alpha101/alpha_027,0.03691,0.7155,2,0
month,2024-03,gtja191/alpha_006,0.03885,0.7142,3,0
month,2024-03,alpha101/alpha_080,0.01875,0.6546,4,0
month,2024-03,alpha101/alpha_002,0.01449,0.649,5,0
month,2024-03,alpha101/alpha_088,0.02088,0.6457,6,0
month,2024-03,qlib158/vsumn60,0.00214,0.6302,7,0
month,2024-03,qlib158/min10,0.01192,0.6289,8,0
month,2024-03,alpha101/alpha_004,0.01434,0.6274,9,0
month,2024-03,gtja191/alpha_016,-0.00072,0.6257,10,0
month,2024-03,qlib158/cntn5,0.01063,0.6256,11,0
month,2024-03,gtja191/alpha_001,0.00262,0.6222,12,0
month,2024-03,gtja191/alpha_092,0.01057,0.6215,13,0
month,2024-03,alpha101/alpha_055,-0.00283,0.6103,14,0
month,2024-03,gtja191/alpha_026,0.00296,0.6097,15,0
month,2024-03,gtja191/alpha_157,0.00644,0.6066,16,0
month,2024-03,qlib158/vsumn5,-0.00516,0.6011,17,0
month,2024-03,gtja191/alpha_048,-0.00419,0.5984,18,0
month,2024-03,gtja191/alpha_025,0.01066,0.5971,19,0
month,2024-03,gtja191/alpha_090,-0.0114,0.5874,20,0
month,2024-03,gtja191/alpha_008,-0.00602,0.5839,21,0
month,2024-03,alpha101/alpha_026,-0.00613,0.5809,22,0
month,2024-03,alpha101/alpha_044,-0.01192,0.5691,23,0
month,2024-03,gtja191/alpha_037,-0.00869,0.5684,24,0
month,2024-03,qlib158/vsumn20,-0.01564,0.5663,25,0
month,2024-03,alpha101/alpha_084,-0.00787,0.5657,26,0
month,2024-03,alpha101/alpha_015,-0.01858,0.5564,27,0
month,2024-03,alpha101/alpha_023,-0.01509,0.554,28,0
month,2024-03,alpha101/alpha_024,-0.00892,0.5479,29,0
month,2024-03,qlib158/vma60,-0.0209,0.5436,30,0
month,2024-03,gtja191/alpha_168,-0.02782,0.5135,31,0
month,2024-03,qlib158/vma10,-0.02964,0.5081,32,0
month,2024-03,gtja191/alpha_041,-0.03044,0.4878,33,0
month,2024-03,alpha101/alpha_067,-0.03621,0.4876,34,0
month,2024-03,alpha101/alpha_069,-0.03398,0.4856,35,0
month,2024-03,qlib158/ma10,-0.05244,0.4122,36,0
month,2024-03,alpha101/alpha_016,-0.06087,0.3998,37,0
month,2024-03,alpha101/alpha_019,-0.08497,0.3193,38,0
month,2024-04,qlib158/cntn5,0.06382,0.6643,1,1
month,2024-04,gtja191/alpha_016,0.06484,0.6551,2,0
month,2024-04,gtja191/alpha_090,0.05751,0.6356,3,0
month,2024-04,alpha101/alpha_002,0.04882,0.6129,4,0
month,2024-04,alpha101/alpha_004,0.04343,0.5926,5,0
month,2024-04,alpha101/alpha_055,0.04521,0.5916,6,0
month,2024-04,gtja191/alpha_001,0.05596,0.5906,7,0
month,2024-04,gtja191/alpha_092,0.04538,0.5861,8,0
month,2024-04,gtja191/alpha_048,0.04085,0.574,9,0
month,2024-04,gtja191/alpha_157,0.03704,0.5709,10,0
month,2024-04,alpha101/alpha_026,0.04304,0.5699,11,0
month,2024-04,alpha101/alpha_084,0.03904,0.5658,12,0
month,2024-04,gtja191/alpha_008,0.03604,0.5571,13,0
month,2024-04,gtja191/alpha_026,0.03463,0.5534,14,0
month,2024-04,alpha101/alpha_067,0.03378,0.548,15,0
month,2024-04,alpha101/alpha_044,0.03412,0.5474,16,0
month,2024-04,qlib158/vma60,0.03618,0.543,17,0
month,2024-04,alpha101/alpha_088,0.03234,0.5423,18,0
month,2024-04,gtja191/alpha_037,0.03213,0.5371,19,0
month,2024-04,gtja191/alpha_025,0.03087,0.5323,20,0
month,2024-04,alpha101/alpha_080,0.02945,0.5311,21,0
month,2024-04,alpha101/alpha_024,0.03335,0.531,22,0
month,2024-04,qlib158/vsumn20,0.02897,0.5256,23,0
month,2024-04,qlib158/vsumn5,0.03257,0.5215,24,0
month,2024-04,qlib158/vsumn30,0.02931,0.5182,25,0
month,2024-04,alpha101/alpha_023,0.02738,0.5104,26,0
month,2024-04,gtja191/alpha_006,0.02092,0.4987,27,0
month,2024-04,qlib158/vsumn60,0.02253,0.4985,28,0
month,2024-04,alpha101/alpha_015,0.02268,0.4973,29,0
month,2024-04,qlib158/min10,0.01631,0.4606,30,0
month,2024-04,alpha101/alpha_027,0.00958,0.4539,31,0
month,2024-04,qlib158/ma10,0.02346,0.4481,32,0
month,2024-04,gtja191/alpha_168,0.00222,0.4423,33,0
month,2024-04,qlib158/vma10,-0.00315,0.4239,34,0
month,2024-04,alpha101/alpha_016,0.02955,0.4229,35,0
month,2024-04,gtja191/alpha_041,-0.00534,0.3784,36,0
month,2024-04,alpha101/alpha_019,-0.00526,0.368,37,0
month,2024-04,alpha101/alpha_069,-0.00748,0.3654,38,0
month,2024-05,alpha101/alpha_027,-0.02978,0.7509,1,1
month,2024-05,gtja191/alpha_006,-0.02731,0.7508,2,0
month,2024-05,gtja191/alpha_037,-0.03652,0.7213,3,0
month,2024-05,alpha101/alpha_024,-0.03293,0.7036,4,0
month,2024-05,gtja191/alpha_092,-0.04952,0.6676,5,0
month,2024-05,alpha101/alpha_023,-0.05104,0.6594,6,0
month,2024-05,gtja191/alpha_008,-0.0507,0.6549,7,0
month,2024-05,alpha101/alpha_080,-0.04957,0.6513,8,0
month,2024-05,alpha101/alpha_002,-0.05296,0.6509,9,0
month,2024-05,gtja191/alpha_026,-0.05277,0.6495,10,0
month,2024-05,alpha101/alpha_069,-0.05697,0.6272,11,0
month,2024-05,qlib158/vsumn60,-0.05231,0.6226,12,0
month,2024-05,gtja191/alpha_041,-0.0595,0.6162,13,0
month,2024-05,gtja191/alpha_025,-0.06012,0.6142,14,0
month,2024-05,gtja191/alpha_157,-0.06091,0.6088,15,0
month,2024-05,alpha101/alpha_084,-0.06287,0.6019,16,0
month,2024-05,alpha101/alpha_004,-0.06123,0.6018,17,0
month,2024-05,alpha101/alpha_044,-0.06085,0.6012,18,0
month,2024-05,alpha101/alpha_067,-0.06351,0.5924,19,0
month,2024-05,alpha101/alpha_015,-0.0643,0.5811,20,0
month,2024-05,gtja191/alpha_048,-0.06939,0.5782,21,0
month,2024-05,alpha101/alpha_019,-0.07086,0.5773,22,0
month,2024-05,alpha101/alpha_055,-0.0738,0.5607,23,0
month,2024-05,gtja191/alpha_001,-0.07451,0.5447,24,0
month,2024-05,alpha101/alpha_088,-0.07649,0.5443,25,0
month,2024-05,alpha101/alpha_026,-0.07432,0.5432,26,0
month,2024-05,qlib158/vsumn30,-0.07558,0.5419,27,0
month,2024-05,qlib158/vma60,-0.08018,0.5248,28,0
month,2024-05,gtja191/alpha_168,-0.08251,0.5074,29,0
month,2024-05,gtja191/alpha_090,-0.08236,0.4988,30,0
month,2024-05,gtja191/alpha_016,-0.08354,0.4946,31,0
month,2024-05,qlib158/vsumn5,-0.08581,0.4925,32,0
month,2024-05,qlib158/vsumn20,-0.08675,0.4817,33,0
month,2024-05,qlib158/cntn5,-0.08763,0.4654,34,0
month,2024-05,qlib158/min10,-0.09525,0.4654,35,0
month,2024-05,qlib158/vma10,-0.096,0.4327,36,0
month,2024-05,alpha101/alpha_016,-0.10639,0.3716,37,0
month,2024-05,qlib158/ma10,-0.13246,0.2906,38,0
month,2024-06,alpha101/alpha_027,0.02544,0.8539,1,1
month,2024-06,gtja191/alpha_006,0.02271,0.8471,2,0
month,2024-06,qlib158/min10,-0.01101,0.6843,3,0
month,2024-06,qlib158/ma10,-0.00863,0.6567,4,0
month,2024-06,gtja191/alpha_016,-0.03075,0.6447,5,0
month,2024-06,alpha101/alpha_088,-0.03109,0.6323,6,0
month,2024-06,qlib158/vma60,-0.03358,0.632,7,0
month,2024-06,alpha101/alpha_004,-0.0324,0.6279,8,0
month,2024-06,alpha101/alpha_044,-0.03695,0.6103,9,0
month,2024-06,alpha101/alpha_026,-0.03971,0.594,10,0
month,2024-06,qlib158/vsumn30,-0.0407,0.5895,11,0
month,2024-06,qlib158/vma10,-0.03241,0.5858,12,0
month,2024-06,qlib158/vsumn60,-0.04134,0.5847,13,0
month,2024-06,qlib158/vsumn20,-0.04373,0.5781,14,0
month,2024-06,alpha101/alpha_015,-0.04344,0.5732,15,0
month,2024-06,alpha101/alpha_080,-0.04344,0.5667,16,0
month,2024-06,alpha101/alpha_016,-0.04603,0.5649,17,0
month,2024-06,alpha101/alpha_067,-0.04855,0.5435,18,0
month,2024-06,qlib158/cntn5,-0.05048,0.5379,19,0
month,2024-06,gtja191/alpha_001,-0.05025,0.537,20,0
month,2024-06,gtja191/alpha_168,-0.04737,0.5331,21,0
month,2024-06,gtja191/alpha_090,-0.05063,0.5294,22,0
month,2024-06,qlib158/vsumn5,-0.05167,0.5292,23,0
month,2024-06,alpha101/alpha_002,-0.05167,0.5219,24,0
month,2024-06,alpha101/alpha_023,-0.05354,0.5198,25,0
month,2024-06,alpha101/alpha_024,-0.0499,0.5112,26,0
month,2024-06,alpha101/alpha_055,-0.05356,0.5098,27,0
month,2024-06,alpha101/alpha_084,-0.05927,0.4894,28,0
month,2024-06,alpha101/alpha_069,-0.05991,0.4705,29,0
month,2024-06,gtja191/alpha_026,-0.06505,0.4529,30,0
month,2024-06,gtja191/alpha_157,-0.06327,0.4526,31,0
month,2024-06,gtja191/alpha_025,-0.06717,0.4481,32,0
month,2024-06,gtja191/alpha_092,-0.06949,0.4297,33,0
month,2024-06,gtja191/alpha_008,-0.06987,0.4289,34,0
month,2024-06,gtja191/alpha_037,-0.07128,0.4257,35,0
month,2024-06,gtja191/alpha_048,-0.07361,0.4059,36,0
month,2024-06,gtja191/alpha_041,-0.08741,0.3415,37,0
month,2024-06,alpha101/alpha_019,-0.08726,0.3399,38,0
month,2024-07,gtja191/alpha_168,0.10618,0.8594,1,1
month,2024-07,qlib158/vma10,0.07972,0.8228,2,0
month,2024-07,qlib158/vma60,0.00971,0.6271,3,0
month,2024-07,qlib158/vsumn5,0.01214,0.6263,4,0
month,2024-07,qlib158/vsumn30,0.01025,0.626,5,0
month,2024-07,gtja191/alpha_090,0.00433,0.587,6,0
month,2024-07,alpha101/alpha_088,-0.0011,0.5776,7,0
month,2024-07,alpha101/alpha_055,-0.00137,0.5705,8,0
month,2024-07,qlib158/vsumn60,-0.00163,0.5678,9,0
month,2024-07,qlib158/min10,0.0076,0.5588,10,0
month,2024-07,gtja191/alpha_001,-0.00461,0.5516,11,0
month,2024-07,alpha101/alpha_044,-0.00531,0.5465,12,0
month,2024-07,alpha101/alpha_002,-0.00615,0.5428,13,0
month,2024-07,qlib158/vsumn20,-0.00498,0.5375,14,0
